Source_Name,CLASS,ASSOC1,GLON,GLAT,Signif_Avg,Flux
3FHL J0534.5+2201,PSR,PSR J0534+2200,184.55433654785156,-5.780473709106445,168.6408233642578,8.658909145253801e-09
3FHL J1104.4+3812,BLL,Mkn 421,179.83580017089844,65.03781127929688,144.40611267089844,5.934702951293502e-09
3FHL J0835.3-4510,PSR,PSR J0835-4510,263.5513610839844,-2.7859907150268555,138.80087280273438,1.2154271367137426e-08
3FHL J0633.9+1746,PSR,PSR J0633+1746,195.13145446777344,4.270059585571289,99.73365783691406,3.629312850250699e-09
3FHL J1555.7+1111,BLL,PG 1553+113,21.90978240966797,43.9624137878418,94.41051483154297,2.7104649635845135e-09
3FHL J2158.8-3013,bll,PKS 2155-304,17.732769012451172,-52.24571228027344,83.48789978027344,2.3737010135249648e-09
3FHL J1653.8+3945,BLL,Mkn 501,63.597816467285156,38.85626983642578,82.94796752929688,1.9166084275212825e-09
3FHL J1709.7-4429,PSR,PSR J1709-4429,343.1023864746094,-2.6887571811676025,76.40657806396484,2.7219277942691633e-09
3FHL J0007.0+7303,PSR,PSR J0007+7303,119.66250610351562,10.466553688049316,75.2654800415039,1.530806037486343e-09
3FHL J0721.8+7120,BLL,S5 0716+71,143.98272705078125,28.018022537231445,73.71171569824219,1.2997305454121033e-09
